Bug Report,Time
(NC)Aegis#287,62.729012
(NC)Aegis#415,58.34102
(NC)Aegis#473,37.56322
(NC)andOPT#580,50.91968
(NC)andOPT#638,83.38809
(NC)AndOTP#567,87.34621
(NC)AndrOBD#144,92.02506
(NC)AnglesLog#151,157.1886
(NC)AnglesLog#347,❌
(NC)AnglesLog#43,104.9995
(NC)Anki#5753,98.153
(NC)FieldBook#137,❌
(NC)Gpstest#404,141.94964
(NC)Images2PDF#154,96.92932
(NC)K9#3971,45.34212
(NC)KISS#1481,❌
(NC)LrkFM#34,❌
(NC)Markor#1020,64.29208
(NC)Markor#331,78.28462
(NC)Memento#7,84.43842
(NC)Qksms#1124,108.3488
(NC)Qksms#1155,❌
(NC)WiFiAnalyzer#222,36.47242
ActivityDiary-285,100.34795
acv-12,52.89356
Aegis-500,93.91885
AIMSICD-816,98.41656
andOPT-135,92.05323
andOPT-500,123.72
andOPT-569,111.220682
anglers-log-9,110.865061
Anki-4586,49.358955
Anki-5638,54.664589
Anki-6432,❌
AntennaPod-3245,56.32321
anymemo-18,35.446939
anymemo-422,40.695041
anymemo-440,96.64896
APhotoManager-116,29.620807
AsciiCam-17,94.28017
birthdroid-13,47.240998
calendula-134,32.47723
car-report-43,102.96418
commons-2123,70.710046
dagger-46,19.987506
FamilyFinance-1,98.24212
FastAdapter-394,21.446638
FastAdaptor-113,84.30748
fastfitness-142,125.910594
Fdroid-1821,51.95811
Field-Book-145,146.851839
Field-Book-146,82.28498
FirefoxLite-5085,66.956143
FlashCards-13,66.376796
k9-3255,41.067087
Kiwix-990,69.630685
LibreNews-22,69.731229
LibreNews-23,45.001792
LibreNews-27,80.397116
lrk-44,38.920326
markor-1698,38.649167
markor-194,228.270588
materialistic-1067,95.80838
Memento-169,❌
microMathematics-39,60.226008
NewsBlur-1053,41.49729
noad-music-player-1,30.209522
notepad-23,26.977839
obdreader-22,107.393635
ODK-1402,53.994217
ODK-1796,86.4
ODK-2075,55.750644
ODK-2086,52.886
ODK-2191,179.124033
ODK-2525,24.482335
ODK-3222,83.622431
ODK-360,❌
olam-1,30.521768
olam-2⋆,38.658353
opensudoku-173,87.20576
osmeditor-637,❌
PdfViewer-33,65.810366
qksms-482,54.428
qksms-585,42.9103
ScreenCam-25,59.333355
ScreenCam-32,38.66545
soen-36,89.792125
TimeTracker-10,63.754437
TimeTracker-138,57.81216
TimeTracker-35,32.912634
Trainer-7,243.30026
transistor-149,76.42481
transistor-63,44.910123
trickytripper-42,131.45104
ultrasonic-187,65.53416
Weather-61,43.293196
