Bug Report,Time,ReBL_s,ReBL_u,BL_g,RecDroid,ReproBot,AdbGPT
ActivityDiary-285,☑️,☑️,❌,☑️,❌,❌,☑️
acv-12,☑️,☑️,☑️,☑️,☑️,☑️,☑️
Aegis-500,☑️,☑️,☑️,☑️,❌,❌,❌
AIMSICD-816,☑️,☑️,☑️,❌,❌,☑️,☑️
andOPT-135,☑️,☑️,☑️,☑️,❌,☑️,❌
andOPT-500,☑️,☑️,☑️,❌,❌,❌,❌
andOPT-569,☑️,☑️,☑️,❌,❌,☑️,☑️
anglers-log-9,☑️,☑️,☑️,☑️,❌,☑️,❌
Anki-4586,☑️,☑️,☑️,☑️,☑️,☑️,☑️
Anki-5638,☑️,☑️,❌,☑️,❌,❌,☑️
Anki-6432,❌,❌,❌,❌,❌,❌,❌
AntennaPod-3245,☑️,☑️,☑️,☑️,☑️,☑️,☑️
anymemo-18,☑️,☑️,☑️,☑️,☑️,☑️,☑️
anymemo-422,☑️,☑️,☑️,☑️,☑️,☑️,☑️
anymemo-440,☑️,☑️,☑️,☑️,☑️,☑️,☑️
APhotoManager-116,☑️,☑️,☑️,☑️,☑️,☑️,❌
AsciiCam-17,☑️,☑️,☑️,☑️,❌,❌,☑️
birthdroid-13,☑️,☑️,☑️,☑️,☑️,☑️,☑️
calendula-134,☑️,☑️,☑️,☑️,❌,❌,☑️
car-report-43,☑️,☑️,☑️,☑️,❌,❌,☑️
commons-2123,☑️,☑️,☑️,☑️,☑️,☑️,❌
dagger-46,☑️,☑️,☑️,☑️,☑️,☑️,☑️
FamilyFinance-1,☑️,☑️,❌,❌,❌,☑️,☑️
FastAdapter-394,☑️,☑️,☑️,☑️,❌,❌,❌
FastAdaptor-113,☑️,❌,☑️,☑️,☑️,☑️,☑️
fastfitness-142,☑️,☑️,☑️,❌,❌,❌,☑️
Fdroid-1821,☑️,☑️,☑️,☑️,❌,❌,☑️
Field-Book-145,☑️,☑️,☑️,☑️,❌,☑️,❌
Field-Book-146,☑️,☑️,☑️,☑️,❌,❌,☑️
FirefoxLite-5085,☑️,☑️,☑️,☑️,❌,☑️,☑️
FlashCards-13,☑️,☑️,☑️,☑️,☑️,☑️,☑️
k9-3255,☑️,☑️,☑️,☑️,☑️,☑️,☑️
Kiwix-990,☑️,☑️,☑️,☑️,❌,☑️,☑️
LibreNews-22,☑️,☑️,☑️,☑️,☑️,☑️,☑️
LibreNews-23,☑️,☑️,☑️,☑️,❌,☑️,☑️
LibreNews-27,☑️,☑️,☑️,☑️,☑️,☑️,❌
lrk-44,☑️,☑️,☑️,☑️,❌,❌,❌
markor-1698,☑️,☑️,☑️,☑️,❌,☑️,☑️
markor-194,☑️,☑️,☑️,☑️,☑️,☑️,☑️
materialistic-1067,☑️,☑️,❌,❌,❌,❌,☑️
Memento-169,❌,❌,❌,❌,❌,❌,❌
microMathematics-39,☑️,☑️,❌,❌,❌,☑️,☑️
NewsBlur-1053,☑️,☑️,☑️,☑️,☑️,☑️,☑️
noad-music-player-1,☑️,☑️,☑️,☑️,❌,☑️,☑️
notepad-23,☑️,☑️,☑️,☑️,☑️,☑️,☑️
obdreader-22,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-1402,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-1796,☑️,☑️,☑️,❌,❌,❌,❌
ODK-2075,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-2086,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-2191,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-2525,☑️,☑️,☑️,☑️,☑️,☑️,☑️
ODK-3222,☑️,☑️,☑️,❌,❌,❌,☑️
ODK-360,❌,❌,❌,❌,❌,❌,❌
olam-1,☑️,☑️,☑️,☑️,☑️,☑️,☑️
olam-2⋆,☑️,☑️,☑️,☑️,☑️,❌,☑️
opensudoku-173,☑️,☑️,☑️,☑️,❌,❌,❌
osmeditor-637,❌,❌,❌,❌,❌,❌,☑️
PdfViewer-33,☑️,☑️,☑️,☑️,☑️,☑️,☑️
qksms-482,☑️,☑️,☑️,☑️,❌,☑️,☑️
qksms-585,☑️,☑️,❌,☑️,☑️,☑️,☑️
ScreenCam-25,☑️,☑️,☑️,☑️,❌,☑️,☑️
ScreenCam-32,☑️,☑️,☑️,☑️,❌,❌,❌
soen-36,☑️,☑️,❌,☑️,☑️,☑️,☑️
TimeTracker-10,☑️,☑️,☑️,☑️,❌,☑️,☑️
TimeTracker-138,☑️,☑️,☑️,☑️,❌,❌,❌
TimeTracker-35,☑️,☑️,☑️,☑️,☑️,☑️,☑️
Trainer-7,☑️,☑️,☑️,☑️,☑️,☑️,❌
transistor-149,☑️,❌,☑️,❌,❌,❌,❌
transistor-63,☑️,☑️,☑️,☑️,☑️,☑️,☑️
trickytripper-42,☑️,❌,❌,❌,❌,❌,☑️
ultrasonic-187,☑️,☑️,☑️,☑️,❌,☑️,☑️
Weather-61,☑️,☑️,☑️,☑️,☑️,☑️,☑️
Fail,4,7,12,15,40,25,19
Success Rate ,94.52%,90.41%,83.56%,79.45%,45.21%,65.75%,73.97%
