Bug Report,ReBL,ReBL_S2R,ReBL_Indiv,BL_NoFB
(NC)Aegis#287,62.72901,❌,73.01052,❌
(NC)Aegis#415,58.34102,❌,78.71713,89.62504
(NC)Aegis#473,37.56322,35.6503,46.0764,57.82046
(NC)andOPT#580,50.91968,❌,67.45307,64.34276
(NC)andOPT#638,83.38809,❌,110.82629,120.97361
(NC)AndOTP#567,87.34621,❌,108.3948,115.94659
(NC)AndrOBD#144,92.02506,98.29001,78.81526,❌
(NC)AnglesLog#151,157.1886,181.37226,❌,200.81163
(NC)AnglesLog#347,❌,❌,❌,❌
(NC)AnglesLog#43,104.9995,117.54087,❌,123.19725
(NC)Anki#5753,98.153,❌,106.0088,97.16772
(NC)FieldBook#137,❌,❌,❌,❌
(NC)Gpstest#404,141.94964,119.72411,140.34216,❌
(NC)Images2PDF#154,96.92932,116.17869,105.49055,89.50989
(NC)K9#3971,45.34212,39.58282,61.56155,51.06473
(NC)KISS#1481,❌,❌,❌,❌
(NC)LrkFM#34,❌,❌,❌,❌
(NC)Markor#1020,64.29208,72.85795,❌,79.44976
(NC)Markor#331,78.28462,84.88844,81.56489,❌
(NC)Memento#7,84.43842,100.90912,❌,125.3173
(NC)Qksms#1124,108.3488,112.46519,❌,❌
(NC)Qksms#1155,❌,❌,❌,❌
(NC)WiFiAnalyzer#222,36.47242,41.61058,41.8577,52.78495
ActivityDiary-285,100.34795,81.79731,❌,110.39191
acv-12,52.89356,60.0903,67.69404,77.14179
Aegis-500,93.91885,78.97165,124.357,136.2264
AIMSICD-816,98.41656,105.08486,96.24681,❌
andOPT-135,92.05323,96.88035,84.7149,97.89639
andOPT-500,123.72,103.44849,157.38387,❌
andOPT-569,111.22068,122.29352,133.90711,❌
anglers-log-9,110.86506,114.32555,132.96527,118.79118
Anki-4586,49.35896,42.63726,43.64356,72.84524
Anki-5638,54.66459,64.9611,❌,84.89526
Anki-6432,❌,❌,❌,❌
AntennaPod-3245,56.32321,67.48756,53.56393,74.20388
anymemo-18,35.44694,37.56324,41.58236,33.9348
anymemo-422,40.69504,43.3816,38.39604,42.07982
anymemo-440,96.64896,87.09161,112.72268,140.12216
APhotoManager-116,29.62081,29.95456,33.75385,42.5711
AsciiCam-17,94.28017,92.46441,90.06546,112.57148
birthdroid-13,47.241,44.03697,39.87802,55.78208
calendula-134,32.47723,32.81496,28.43504,45.45486
car-report-43,102.96418,90.54563,104.17221,109.72992
commons-2123,70.71005,72.52452,94.96389,106.71735
dagger-46,19.98751,22.04323,20.08774,17.90174
FamilyFinance-1,98.24212,117.22691,❌,❌
FastAdapter-394,21.44664,25.38482,23.15782,31.60765
FastAdaptor-113,84.30748,❌,97.73191,123.09069
fastfitness-142,125.91059,131.71069,142.52495,❌
Fdroid-1821,51.95811,63.14683,66.32527,77.96139
Field-Book-145,146.85184,163.35728,149.59447,183.29741
Field-Book-146,82.28498,74.34581,100.00079,77.59877
FirefoxLite-5085,66.95614,60.91401,87.52426,62.80593
FlashCards-13,66.3768,68.67278,67.98392,96.08085
k9-3255,41.06709,35.38218,43.18693,56.77258
Kiwix-990,69.63068,67.95983,69.32197,106.08747
LibreNews-22,69.73123,75.00273,85.91136,107.56573
LibreNews-23,45.00179,41.76804,45.24489,67.65018
LibreNews-27,80.39712,86.377,106.00784,89.99563
lrk-44,38.92033,40.09695,35.90614,50.1365
markor-1698,38.64917,36.26424,42.76597,56.10942
markor-194,228.27059,265.85176,241.08083,298.18596
materialistic-1067,95.80838,82.34517,❌,❌
Memento-169,❌,❌,❌,❌
microMathematics-39,60.22601,51.06751,❌,❌
NewsBlur-1053,41.49729,39.8184,38.42425,57.37882
noad-music-player-1,30.20952,36.17912,32.14362,45.36119
notepad-23,26.97784,31.86332,28.04558,30.9443
obdreader-22,107.39364,103.75366,92.71609,118.32962
ODK-1402,53.99422,65.10537,48.50556,48.7278
ODK-1796,86.4,89.70257,82.07252,❌
ODK-2075,55.75064,60.69627,55.29098,72.12404
ODK-2086,52.886,54.14387,63.59535,52.95776
ODK-2191,179.12403,164.90282,181.68192,180.18463
ODK-2525,24.48233,30.09707,22.19626,29.99978
ODK-3222,83.62243,69.41481,81.57032,❌
ODK-360,❌,❌,❌,❌
olam-1,30.52177,28.03841,25.22779,34.04764
olam-2⋆,38.65835,32.41445,34.42617,52.70862
opensudoku-173,87.20576,97.10408,111.83579,98.36532
osmeditor-637,❌,❌,❌,❌
PdfViewer-33,65.81037,76.77479,70.31727,61.16655
qksms-482,54.428,45.01458,44.15435,74.67526
qksms-585,42.9103,47.66438,❌,46.5343
ScreenCam-25,59.33335,50.9766,51.36999,60.97911
ScreenCam-32,38.66545,39.15481,31.73364,45.66663
soen-36,89.79212,87.80823,❌,127.02042
TimeTracker-10,63.75444,68.51644,74.54989,91.90575
TimeTracker-138,57.81216,57.64002,77.82594,61.50546
TimeTracker-35,32.91263,28.1068,40.27706,51.27022
Trainer-7,243.30026,241.11924,240.45862,291.5475
transistor-149,76.42481,❌,73.8563,❌
transistor-63,44.91012,37.40565,55.11959,69.06111
trickytripper-42,131.45104,❌,❌,❌
ultrasonic-187,65.53416,58.35083,79.87486,103.25295
Weather-61,43.2932,48.96985,49.09914,50.73554
